City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,80.58,70,1,1.01,US,2021-11-25 03:30:05
1,Kudahuvadhoo,2.6708,72.8944,81.63,69,90,15.57,MV,2021-11-25 03:30:06
2,Atuona,-9.8,-139.0333,77.95,81,21,15.75,PF,2021-11-25 03:30:06
3,Esperance,-33.8667,121.9,69.64,63,88,10.51,AU,2021-11-25 03:30:06
4,Iraquara,-12.2486,-41.6194,67.21,96,63,3.98,BR,2021-11-25 03:30:07
5,Vaini,-21.2,-175.2,84.36,84,75,8.05,TO,2021-11-25 03:30:07
6,Presidencia Roque Saenz Pena,-26.7852,-60.4388,77.65,64,52,5.3,AR,2021-11-25 03:30:08
7,Papara,-3.9839,-38.7273,81.72,90,72,3.22,BR,2021-11-25 03:30:08
8,Hofn,64.2539,-15.2082,30.22,65,100,3.36,IS,2021-11-25 03:30:09
9,Bredasdorp,-34.5322,20.0403,56.28,76,16,13.67,ZA,2021-11-25 03:30:09
10,Barrow,71.2906,-156.7887,-5.78,77,20,11.5,US,2021-11-25 03:28:38
11,Bluff,-46.6,168.3333,62.15,55,100,5.41,NZ,2021-11-25 03:30:10
12,Oussouye,12.485,-16.5469,80.78,85,6,4.99,SN,2021-11-25 03:25:17
13,Butaritari,3.0707,172.7902,82.4,69,10,15.26,KI,2021-11-25 03:30:10
14,Puerto Ayora,-0.7393,-90.3518,69.12,85,22,10.56,EC,2021-11-25 03:30:11
15,Sandeid,59.5449,5.8636,40.1,92,100,3.78,NO,2021-11-25 03:30:11
16,Moron,-34.6534,-58.6198,80.98,44,32,3.0,AR,2021-11-25 03:27:06
17,Albany,42.6001,-73.9662,34.3,76,70,2.84,US,2021-11-25 03:30:07
18,Chuy,-33.6971,-53.4616,59.77,83,4,8.19,UY,2021-11-25 03:30:12
19,Lagoa,39.05,-27.9833,63.3,72,100,31.99,PT,2021-11-25 03:31:51
20,Pochutla,15.7432,-96.4661,76.82,76,3,3.42,MX,2021-11-25 03:31:51
21,Ribeira Grande,38.5167,-28.7,64.31,71,100,27.83,PT,2021-11-25 03:31:52
22,Port Elizabeth,-33.918,25.5701,61.09,82,75,9.22,ZA,2021-11-25 03:31:53
23,Qasigiannguit,68.8193,-51.1922,28.65,83,88,8.34,GL,2021-11-25 03:31:53
24,Geraldton,-28.7667,114.6,97.21,11,0,5.75,AU,2021-11-25 03:31:53
25,Upernavik,72.7868,-56.1549,19.69,92,100,29.42,GL,2021-11-25 03:31:54
26,Thompson,55.7435,-97.8558,-5.64,77,1,11.5,CA,2021-11-25 03:31:54
27,Leshukonskoye,64.8989,45.7622,11.1,95,70,4.88,RU,2021-11-25 03:31:55
28,Fortuna,40.5982,-124.1573,44.65,65,1,1.01,US,2021-11-25 03:31:55
29,Lorengau,-2.0226,147.2712,85.19,69,40,7.81,PG,2021-11-25 03:31:55
30,Ambon,-3.6954,128.1814,89.74,58,40,6.91,ID,2021-11-25 03:31:56
31,Aljezur,37.3191,-8.8033,54.75,69,71,18.66,PT,2021-11-25 03:31:56
32,Sorland,67.667,12.6934,34.43,81,100,32.97,NO,2021-11-25 03:31:57
33,Mae Sot,16.7167,98.5667,82.35,65,0,0.0,TH,2021-11-25 03:31:57
34,Preobrazheniye,42.9019,133.9064,28.54,46,8,8.05,RU,2021-11-25 03:31:57
35,Rikitea,-23.1203,-134.9692,76.64,76,40,10.67,PF,2021-11-25 03:31:58
36,Port Hedland,-20.3167,118.5667,95.05,12,23,13.8,AU,2021-11-25 03:31:58
37,Qaanaaq,77.484,-69.3632,-2.33,48,0,7.16,GL,2021-11-25 03:31:59
38,Coquimbo,-29.9533,-71.3436,56.93,88,0,3.44,CL,2021-11-25 03:31:18
39,Kruisfontein,-34.0033,24.7314,57.88,85,3,4.76,ZA,2021-11-25 03:31:59
40,Hermanus,-34.4187,19.2345,56.8,74,6,22.12,ZA,2021-11-25 03:32:00
41,Saskylakh,71.9167,114.0833,-12.87,97,83,8.46,RU,2021-11-25 03:32:00
42,Boguchar,49.9358,40.545,23.9,71,14,12.1,RU,2021-11-25 03:32:01
43,Busselton,-33.65,115.3333,80.1,33,46,2.26,AU,2021-11-25 03:32:01
44,Hithadhoo,-0.6,73.0833,82.44,71,76,18.5,MV,2021-11-25 03:32:01
45,Mataura,-46.1927,168.8643,70.0,30,100,9.71,NZ,2021-11-25 03:33:02
46,Moerai,-22.4333,-151.3333,75.29,79,100,10.76,PF,2021-11-25 03:33:02
47,Jamestown,42.097,-79.2353,44.19,51,1,5.01,US,2021-11-25 03:31:23
48,Waingapu,-9.6567,120.2641,88.47,60,39,7.9,ID,2021-11-25 03:33:03
49,Bolgatanga,10.7856,-0.8514,76.91,24,90,4.27,GH,2021-11-25 03:33:03
50,Noumea,-22.2763,166.4572,87.78,66,99,11.48,NC,2021-11-25 03:30:11
51,Pevek,69.7008,170.3133,-12.39,92,100,4.43,RU,2021-11-25 03:33:04
52,Faanui,-16.4833,-151.75,81.64,74,15,10.87,PF,2021-11-25 03:33:05
53,Raudeberg,61.9875,5.1352,38.19,96,100,5.99,NO,2021-11-25 03:33:05
54,Bilma,18.6853,12.9164,72.55,22,0,5.32,NE,2021-11-25 03:33:05
55,Portland,45.5234,-122.6762,46.06,92,90,1.01,US,2021-11-25 03:33:06
56,Cotacachi,0.3,-78.2667,54.95,96,100,0.4,EC,2021-11-25 03:33:06
57,Polewali,-3.4324,119.3435,87.75,65,74,6.17,ID,2021-11-25 03:33:07
58,Victoria,22.2855,114.1577,73.26,60,11,1.01,HK,2021-11-25 03:33:07
59,Whitehaven,54.549,-3.5841,34.66,94,6,14.63,GB,2021-11-25 03:33:07
60,Kamenka,51.3223,42.7678,26.74,80,99,15.73,RU,2021-11-25 03:33:08
61,Canutama,-6.5339,-64.3831,74.5,94,59,0.92,BR,2021-11-25 03:33:08
62,Saint George,37.1041,-113.5841,50.47,28,1,1.01,US,2021-11-25 03:33:09
63,Lebu,-37.6167,-73.65,53.51,95,23,5.57,CL,2021-11-25 03:33:09
64,Nikolskoye,59.7035,30.7861,32.88,93,100,4.72,RU,2021-11-25 03:33:09
65,Saint-Philippe,-21.3585,55.7679,81.21,74,53,11.74,RE,2021-11-25 03:33:10
66,Yulara,-25.2406,130.9889,75.04,38,40,14.97,AU,2021-11-25 03:33:10
67,Airai,-8.9266,125.4092,73.18,67,83,0.65,TL,2021-11-25 03:33:11
68,Ostrovnoy,68.0531,39.5131,25.02,71,100,12.64,RU,2021-11-25 03:33:11
69,Hasaki,35.7333,140.8333,64.29,43,0,8.77,JP,2021-11-25 03:33:11
70,Arraial Do Cabo,-22.9661,-42.0278,72.09,80,4,6.67,BR,2021-11-25 03:33:12
71,Gizo,-8.103,156.8419,85.28,67,30,2.53,SB,2021-11-25 03:33:12
72,Mol,51.192,5.1145,42.75,89,67,2.06,BE,2021-11-25 03:33:13
73,Avarua,-21.2078,-159.775,78.85,73,20,10.36,CK,2021-11-25 03:33:13
74,Dingle,10.9995,122.6711,84.87,73,100,9.71,PH,2021-11-25 03:33:13
75,Cape Town,-33.9258,18.4232,61.11,59,0,10.36,ZA,2021-11-25 03:33:14
76,Atar,20.5169,-13.0499,77.25,37,88,7.45,MR,2021-11-25 03:33:14
77,Hilo,19.7297,-155.09,79.29,83,75,8.05,US,2021-11-25 03:32:05
78,Ushuaia,-54.8,-68.3,42.46,75,20,17.27,AR,2021-11-25 03:33:15
79,Katesh,-4.5167,35.3833,62.2,78,99,2.04,TZ,2021-11-25 03:33:15
80,Punta Arenas,-53.15,-70.9167,46.51,76,0,2.3,CL,2021-11-25 03:33:16
81,Shimoda,34.6667,138.95,62.96,56,0,29.64,JP,2021-11-25 03:33:16
