City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Moss Point,US,30.4116,-88.5345,76.44,68,40,5.75,scattered clouds
1,Ahipara,NZ,-35.1667,173.1667,62.17,79,90,3.6,overcast clouds
2,Karpathos,GR,35.507,27.2132,58.96,72,100,8.05,overcast clouds
3,Portlethen,GB,57.0547,-2.1307,39.78,79,100,10.36,light rain
4,Batagay,RU,67.6333,134.6333,-35.27,98,100,2.57,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,51.91,43,40,34.52,scattered clouds
6,Saint-Philippe,RE,-21.3585,55.7679,77.22,83,55,4.34,broken clouds
7,Chokurdakh,RU,70.6333,147.9167,-30.44,100,29,5.21,scattered clouds
8,Vitoria Da Conquista,BR,-14.8661,-40.8394,76.95,49,66,8.46,broken clouds
9,Khor,RU,47.8861,134.9464,10.27,94,100,9.06,overcast clouds
10,Hilo,US,19.7297,-155.09,75.79,92,90,4.61,moderate rain
11,Belen,TR,36.4891,36.2233,50.14,100,75,1.14,light rain
12,Albany,US,42.6001,-73.9662,47.57,62,100,0.83,overcast clouds
13,Avarua,CK,-21.2078,-159.775,80.65,83,11,11.5,light rain
14,Rawson,AR,-43.3002,-65.1023,69.12,39,56,17.34,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,63.28,73,0,26.11,clear sky
16,Siavonga,ZM,-16.5382,28.7088,79.95,64,38,11.79,scattered clouds
17,Fairbanks,US,64.8378,-147.7164,-10.01,72,1,0.0,clear sky
18,Benghazi,LY,32.1167,20.0667,72.12,44,58,20.4,broken clouds
19,Yabrud,SY,33.9674,36.6574,40.66,69,6,3.06,clear sky
20,Cape Town,ZA,-33.9258,18.4232,73.11,49,0,17.27,clear sky
21,Husavik,IS,66.0449,-17.3389,30.11,86,96,23.4,overcast clouds
22,Komsomolskiy,UZ,40.4272,71.7189,45.32,49,100,4.61,haze
23,Upernavik,GL,72.7868,-56.1549,19.44,85,100,10.07,overcast clouds
24,Souillac,MU,-20.5167,57.5167,75.58,83,20,4.61,few clouds
25,Khandagayty,RU,50.7333,92.05,14.7,94,100,3.44,overcast clouds
26,Kloulklubed,PW,7.0419,134.2556,83.46,75,100,12.86,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,76.28,73,8,13.71,clear sky
28,Tamiahua,MX,21.2667,-97.45,80.64,65,5,12.62,clear sky
29,Asau,RO,46.4333,26.4,31.28,81,1,6.08,clear sky
30,Juneau,US,58.3019,-134.4197,44.6,90,90,20.71,mist
31,New Norfolk,AU,-42.7826,147.0587,46.71,67,22,1.01,few clouds
32,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,18.41,light rain
33,Hermanus,ZA,-34.4187,19.2345,63.81,72,0,27.74,clear sky
34,Ushtobe,KZ,45.2514,77.9838,48.15,78,100,16.28,overcast clouds
35,Shingu,JP,33.7333,135.9833,51.39,76,0,6.13,clear sky
36,Verkhnevilyuysk,RU,63.4453,120.3167,-1.19,96,100,2.53,overcast clouds
37,Sinnamary,GF,5.3833,-52.95,82.78,73,75,6.55,broken clouds
38,Coahuayana,MX,18.7333,-103.6833,92.68,41,7,6.02,clear sky
39,Nizhniy Kuranakh,RU,58.8353,125.4869,-9.83,98,82,2.17,broken clouds
40,Busselton,AU,-33.65,115.3333,61.05,78,100,10.96,overcast clouds
41,Ushuaia,AR,-54.8,-68.3,49.66,57,75,5.75,light rain
42,Hithadhoo,MV,-0.6,73.0833,81.57,70,97,15.52,overcast clouds
43,Saint-Francois,FR,46.4154,3.9054,36.68,96,90,5.75,light rain
44,Matadi,CD,-5.8167,13.45,76.84,92,100,2.44,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,57.33,64,100,7.61,light rain
46,Qaanaaq,GL,77.484,-69.3632,-3.82,60,100,6.17,overcast clouds
47,Bengkulu,ID,-3.8004,102.2655,77.54,84,100,4.38,overcast clouds
48,Taoudenni,ML,22.6783,-3.9836,82.63,27,100,9.17,overcast clouds
49,Yellowknife,CA,62.456,-114.3525,9.41,91,90,5.01,light snow
50,Orumiyeh,IR,37.5527,45.0761,35.15,87,40,2.3,scattered clouds
51,Kavieng,PG,-2.5744,150.7967,82.02,71,5,6.8,clear sky
52,Laguna,US,38.421,-121.4238,67.23,67,1,1.01,clear sky
53,Hobart,AU,-42.8794,147.3294,47.05,75,20,3.0,few clouds
54,Saldanha,ZA,-33.0117,17.9442,77.05,37,0,20.4,clear sky
55,Karaman,TR,37.0833,33.25,42.1,83,20,2.91,few clouds
56,Storforshei,NO,66.4043,14.5233,8.38,78,0,8.05,clear sky
57,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,73,31,16.58,scattered clouds
58,Nome,US,64.5011,-165.4064,-7.53,65,1,4.61,clear sky
59,Thompson,CA,55.7435,-97.8558,-3.84,71,20,2.3,few clouds
60,Rosetta,EG,31.4044,30.4164,66.02,70,69,4.25,broken clouds
61,Atuona,PF,-9.8,-139.0333,78.6,79,12,18.3,few clouds
62,Port Alfred,ZA,-33.5906,26.891,64.22,72,100,23.15,overcast clouds
63,Kaitangata,NZ,-46.2817,169.8464,57.0,57,100,5.41,overcast clouds
64,Namatanai,PG,-3.6667,152.4333,78.78,80,70,3.83,broken clouds
65,Altay,CN,47.8667,88.1167,33.48,72,100,5.21,light snow
66,Olga,RU,43.7444,135.2892,22.71,57,0,13.76,clear sky
67,Vardo,NO,70.3705,31.1107,17.35,86,20,8.05,few clouds
68,Jamestown,US,42.097,-79.2353,44.24,43,90,11.5,overcast clouds
69,Mar Del Plata,AR,-38.0023,-57.5575,68.02,84,0,5.01,clear sky
70,Honningsvag,NO,70.9821,25.9704,26.1,58,100,11.97,overcast clouds
71,Ankang,CN,32.68,109.0172,47.5,78,0,0.36,clear sky
72,Portland,US,45.5234,-122.6762,54.21,81,75,1.99,broken clouds
73,Mount Isa,AU,-20.7333,139.5,69.57,56,14,5.75,few clouds
74,Huron,US,41.1501,-82.5499,45.84,93,100,14.0,overcast clouds
75,Cidreira,BR,-30.1811,-50.2056,73.47,82,100,13.42,moderate rain
76,Saint George,US,37.1041,-113.5841,55.63,25,1,1.01,clear sky
77,Elbrus,RU,43.2577,42.6443,23.79,32,100,0.89,overcast clouds
78,Wamba,NG,8.9333,8.6,79.57,31,11,3.33,few clouds
79,Spring Hill,US,28.4769,-82.5255,78.67,53,90,3.44,overcast clouds
80,Hofn,IS,64.2539,-15.2082,31.75,65,0,21.83,clear sky
