City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ahipara,NZ,62.17,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
2,Karpathos,GR,58.96,overcast clouds,35.507,27.2132,Alex
5,Punta Arenas,CL,51.91,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
11,Belen,TR,50.14,light rain,36.4891,36.2233,Varlıbaş Uyku Sarayı
14,Rawson,AR,69.12,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
15,Bredasdorp,ZA,63.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Benghazi,LY,72.12,broken clouds,32.1167,20.0667,Tibesti Hotel
20,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Shingu,JP,51.39,clear sky,33.7333,135.9833,Shingu UI Hotel
40,Busselton,AU,61.05,overcast clouds,-33.65,115.3333,Observatory Guest House
45,Mataura,NZ,57.33,light rain,-46.1927,168.8643,Ellie's Villa
52,Laguna,US,67.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
57,Vila Franca Do Campo,PT,60.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
60,Rosetta,EG,66.02,broken clouds,31.4044,30.4164,Green Valley
62,Port Alfred,ZA,64.22,overcast clouds,-33.5906,26.891,The Halyards Hotel
63,Kaitangata,NZ,57.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
69,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
72,Portland,US,54.21,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
73,Mount Isa,AU,69.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
75,Cidreira,BR,73.47,moderate rain,-30.1811,-50.2056,Hotel Castelo
76,Saint George,US,55.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
81,Ancud,CL,56.73,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
82,Abu Zabad,SD,73.83,few clouds,12.35,29.25,حامد محمد نور
94,Pringsewu,ID,73.98,overcast clouds,-5.3582,104.9744,Urban Style by Front One
96,Sydney,AU,63.1,moderate rain,-33.8679,151.2073,The Grace Sydney
